date,value
2021-02-09,53.89
2021-02-10,54.37
2021-02-11,67.60
2021-02-12,67.63
2021-02-13,67.63
2021-02-14,67.63
2021-02-15,67.63
2021-02-16,68.49
2021-02-17,136.78
2021-02-18,134.69
2021-02-19,156.94
2021-02-20,156.94
2021-02-21,156.94
2021-02-22,260.33
2021-02-23,265.86
2021-02-24,370.03
2021-02-25,432.97
2021-02-26,437.95
2021-02-27,437.95
2021-02-28,437.95
2021-03-01,450.35
2021-03-02,440.30
2021-03-03,510.82
2021-03-04,566.81
2021-03-05,581.42
2021-03-06,581.42
2021-03-07,581.42
2021-03-08,561.68
2021-03-09,584.63
2021-03-10,582.78
2021-03-11,602.54
2021-03-12,644.16
2021-03-13,644.16
2021-03-14,644.16
2021-03-15,657.00
2021-03-16,670.27
2021-03-17,681.62
2021-03-18,668.69
2021-03-19,696.26
2021-03-20,696.26
2021-03-21,696.26
2021-03-22,704.50
2021-03-23,697.51
2021-03-24,1721.05
2021-03-25,1700.31
2021-03-26,1726.42
2021-03-27,1726.42
2021-03-28,1726.42
2021-03-29,1774.00
2021-03-30,1756.80
2021-03-31,1796.63
2021-04-01,1821.83
2021-04-02,1821.83
2021-04-03,1821.83
2021-04-04,1821.83
2021-04-05,1884.35
2021-04-06,1868.19
2021-04-07,1909.85
2021-04-08,1909.42
2021-04-09,1906.01
2021-04-10,1906.01
2021-04-11,1906.01
2021-04-12,1900.39
2021-04-13,1889.54
2021-04-14,1847.20
2021-04-15,1877.70
2021-04-16,1867.70
2021-04-17,1867.70
2021-04-18,1867.70
2021-04-19,1843.66
2021-04-20,1846.16
2021-04-21,1838.97
2021-04-22,1808.77
2021-04-23,1836.89
2021-04-24,1836.89
2021-04-25,1836.89
2021-04-26,1848.54
2021-04-27,1851.78
2021-04-28,1873.31
2021-04-29,2010.01
2021-04-30,1982.99
2021-05-01,1982.99
2021-05-02,1982.99
2021-05-03,1967.74
2021-05-04,1942.00
2021-05-05,1921.62
2021-05-06,1952.12
2021-05-07,1946.39
2021-05-08,1946.39
2021-05-09,1946.39
2021-05-10,1866.42
2021-05-11,1998.79
2021-05-12,1971.63
2021-05-13,1988.54
2021-05-14,2056.15
2021-05-15,2056.15
2021-05-16,2056.15
2021-05-17,2055.12
2021-05-18,2020.04
2021-05-19,2042.17
2021-05-20,2073.43
2021-05-21,2057.12
2021-05-22,2057.12
2021-05-23,2057.12
2021-05-24,2272.29
2021-05-25,2292.83
2021-05-26,2292.59
2021-05-27,2320.49
2021-05-28,2295.32
2021-05-29,2295.32
2021-05-30,2295.32
2021-05-31,2295.32
2021-06-01,2297.37
2021-06-02,2298.88
2021-06-03,2275.67
2021-06-04,2431.94
2021-06-05,2431.94
2021-06-06,2431.94
2021-06-07,2468.88
2021-06-08,2459.79
2021-06-09,2441.08
2021-06-10,2463.45
2021-06-11,2455.77
2021-06-12,2455.77
2021-06-13,2455.77
2021-06-14,2494.19
2021-06-15,2493.99
2021-06-16,2463.56
2021-06-17,2506.31
2021-06-18,2464.24
2021-06-19,2464.24
2021-06-20,2464.24
2021-06-21,2475.99
2021-06-22,2523.78
2021-06-23,2533.09
2021-06-24,2541.77
2021-06-25,2524.54
2021-06-26,2524.54
2021-06-27,2524.54
2021-06-28,2617.10
2021-06-29,2594.80
2021-06-30,2568.26
2021-07-01,2608.07
2021-07-02,2620.10
2021-07-03,2620.10
2021-07-04,2620.10
2021-07-05,2620.10
2021-07-06,2629.81
2021-07-07,2618.55
2021-07-08,2593.55
2021-07-09,2621.08
2021-07-10,2621.08
2021-07-11,2621.08
2021-07-12,2637.69
2021-07-13,2625.81
2021-07-14,2599.15
2021-07-15,2573.26
2021-07-16,2545.64
2021-07-17,2545.64
2021-07-18,2545.64
2021-07-19,2820.10
2021-07-20,2856.14
2021-07-21,2889.69
2021-07-22,2931.27
2021-07-23,3063.89
2021-07-24,3063.89
2021-07-25,3063.89
2021-07-26,3088.19
2021-07-27,3046.10
2021-07-28,3084.91
2021-07-29,2976.24
2021-07-30,3482.64
2021-07-31,3482.64
2021-08-01,3482.64
2021-08-02,3615.14
2021-08-03,3954.43
2021-08-04,4011.99
2021-08-05,4152.88
2021-08-06,4145.73
2021-08-07,4145.73
2021-08-08,4145.73
2021-08-09,4129.35
2021-08-10,4117.66
2021-08-11,4097.79
2021-08-12,4123.53
2021-08-13,4124.22
2021-08-14,4124.22
2021-08-15,4124.22
2021-08-16,4153.11
2021-08-17,4067.14
2021-08-18,4412.19
2021-08-19,4402.98
2021-08-20,4442.96
2021-08-21,4442.96
2021-08-22,4442.96
2021-08-23,4507.04
2021-08-24,4543.92
2021-08-25,4563.73
2021-08-26,4539.88
2021-08-27,4622.34
2021-08-28,4622.34
2021-08-29,4622.34
2021-08-30,4721.86
2021-08-31,4735.73
2021-09-01,4761.11
2021-09-02,4699.21
2021-09-03,4714.30
2021-09-04,4714.30
2021-09-05,4714.30
2021-09-06,4714.30
2021-09-07,4776.95
2021-09-08,4748.01
2021-09-09,4731.26
2021-09-10,4729.43
2021-09-11,4729.43
2021-09-12,4729.43
2021-09-13,4706.11
2021-09-14,4702.74
2021-09-15,4694.50
2021-09-16,4693.70
2021-09-17,4614.43
2021-09-18,4614.43
2021-09-19,4614.43
2021-09-20,4800.01
2021-09-21,4808.38
2021-09-22,4914.09
2021-09-23,4958.28
2021-09-24,5026.46
2021-09-25,5026.46
2021-09-26,5026.46
2021-09-27,5021.35
2021-09-28,4856.49
2021-09-29,4839.14
2021-09-30,4828.41
2021-10-01,4860.02
2021-10-02,4860.02
2021-10-03,4860.02
2021-10-04,5474.14
2021-10-05,5568.38
