Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
01/20/2026,YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Cash),META,META PLATFORMS INC CLASS A COMMON STOCK,Cash,0.04,609.41,0,0,0,-24.38,,01/21/2026
01/20/2026,YOU BOUGHT MASTERCARD INCORPORATED CL A (MA) (Cash),MA,MASTERCARD INCORPORATED CL A,Cash,0.1,532.63,0,0,0,-53.26,,01/21/2026
01/20/2026,YOU SOLD VANGUARD INDEX FDS VANGUARD TOTAL ST... (VTI) (Cash),VTI,VANGUARD INDEX FDS VANGUARD TOTAL STK M,Cash,-0.2,337.4,0,0,0,67.48,,01/21/2026
01/20/2026,Electronic Funds Transfer Received (Cash),,No Description,Cash,0,0,0,0,0,500,,
01/20/2026,YOU BOUGHT AMAZON.COM INC (AMZN) (Margin),AMZN,AMAZON.COM INC,Margin,1,229.57,0,0,0,-229.57,,01/21/2026
01/20/2026,YOU SOLD TEXAS ROADHOUSE INC (TXRH) (Margin),TXRH,TEXAS ROADHOUSE INC,Margin,-2,195.12,0,0,0,390.24,,01/21/2026
01/20/2026,YOU BOUGHT AMAZON.COM INC (AMZN) (Margin),AMZN,AMAZON.COM INC,Margin,0.25,229.54,0,0,0,-57.38,,01/21/2026
01/20/2026,YOU BOUGHT META PLATFORMS INC CLASS A COMMON STOCK (META) (Margin),META,META PLATFORMS INC CLASS A COMMON STOCK,Margin,0.15,604.33,0,0,0,-90.65,,01/21/2026
01/20/2026,YOU BOUGHT DUOLINGO INC CL A COM (DUOL) (Margin),DUOL,DUOLINGO INC CL A COM,Margin,0.5,148.77,0,0,0,-74.39,,01/21/2026
01/20/2026,YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Margin),PYPL,PAYPAL HLDGS INC COM,Margin,0.5,55.19,0,0,0,-27.59,,01/21/2026
01/20/2026,YOU BOUGHT MASTERCARD INCORPORATED CL A (MA) (Margin),MA,MASTERCARD INCORPORATED CL A,Margin,0.125,528.85,0,0,0,-66.11,,01/21/2026
01/20/2026,YOU BOUGHT ADOBE INC COM (ADBE) (Margin),ADBE,ADOBE INC COM,Margin,0.25,289.19,0,0,0,-72.3,,01/21/2026
01/20/2026,YOU BOUGHT MASTERCARD INCORPORATED CL A (MA) (Margin),MA,MASTERCARD INCORPORATED CL A,Margin,0.3,531.62,0,0,0,-159.49,,01/21/2026
01/20/2026,YOU BOUGHT DUOLINGO INC CL A COM (DUOL) (Margin),DUOL,DUOLINGO INC CL A COM,Margin,1,150.4,0,0,0,-150.4,,01/21/2026
01/20/2026,YOU BOUGHT PAYPAL HLDGS INC COM (PYPL) (Margin),PYPL,PAYPAL HLDGS INC COM,Margin,1,55.23,0,0,0,-55.23,,01/21/2026
01/20/2026,JOURNALED JNL VS A/C TYPES (Cash),,No Description,Cash,0,0,0,0,0,-52.65,,
